Nr.;Themengebiet;Frage;Option A;Option B;Option C;Option D;Richtig;Vollst„ndige Antwort;Schwierigkeit
366;Leitsymptom: Erbrechen;Welche Erkrankung verursacht schwallartiges, nicht-galliges Erbrechen beim S„ugling (3.?6. Woche)?;Keine Angabe;Die hypertrophe Pylorusstenose.;Keine Angabe;Keine Angabe;B;Die hypertrophe Pylorusstenose.;mittel
367;Leitsymptom: Erbrechen;Welche neurologische Ursache muss bei morgendlichem Nchternerbrechen mit Kopfschmerz bedacht werden?;Keine Angabe;Erh”hter Hirndruck (z. B. Hirntumor).;Keine Angabe;Keine Angabe;B;Erh”hter Hirndruck (z. B. Hirntumor).;mittel
368;Leitsymptom: Erbrechen;Welche h„ufigste Ursache von akutem Erbrechen besteht im Kindesalter meist zusammen mit Durchfall?;Keine Angabe;Die akute Gastroenteritis.;Keine Angabe;Keine Angabe;B;Die akute Gastroenteritis.;leicht
369;Leitsymptom: Durchfall;Welcher Erreger ist die h„ufigste Ursache akuter infekti”ser Durchf„lle im Kleinkindalter?;Keine Angabe;Das Rotavirus.;Keine Angabe;Keine Angabe;B;Das Rotavirus.;leicht
370;Leitsymptom: Durchfall;Welche gef„hrliche Komplikation einer blutigen (EHEC-)Diarrh” muss berwacht werden?;Keine Angabe;Das h„molytisch-ur„mische Syndrom (HUS).;Keine Angabe;Keine Angabe;B;Das h„molytisch-ur„mische Syndrom (HUS).;schwer
371;Leitsymptom: Durchfall;Welche chronische, nicht-infekti”se Ursache von Durchfall mit Gedeihst”rung ist im Kindesalter bedeutsam?;Die Z”liakie (oder chronisch-entzndliche Darmerkrankung).;Keine Angabe;Keine Angabe;Keine Angabe;A;Die Z”liakie (oder chronisch-entzndliche Darmerkrankung).;mittel
372;Leitsymptom: Obstipation;Welche Form der Obstipation ist im Kindesalter mit Abstand am h„ufigsten?;Keine Angabe;Keine Angabe;Keine Angabe;Die funktionelle (habituelle) Obstipation.;D;Die funktionelle (habituelle) Obstipation.;leicht
373;Leitsymptom: Obstipation;Welche angeborene Erkrankung muss bei Obstipation ab Geburt mit verz”gertem Mekoniumabgang ausgeschlossen werden?;Keine Angabe;Keine Angabe;Keine Angabe;Der Morbus Hirschsprung.;D;Der Morbus Hirschsprung.;mittel
374;Leitsymptom: Obstipation;Welche endokrine Ursache kann eine chronische Obstipation begnstigen?;Keine Angabe;Eine Hypothyreose.;Keine Angabe;Keine Angabe;B;Eine Hypothyreose.;mittel
375;Leitsymptom: Ikterus;Welcher Ikterus innerhalb der ersten 24 Lebensstunden ist immer pathologisch und welche Ursache ist typisch?;"Der Icterus praecox; typisch ist eine H„molyse (z. B. Blutgruppeninkompatibilit„t).";Keine Angabe;Keine Angabe;Keine Angabe;A;"Der Icterus praecox; typisch ist eine H„molyse (z. B. Blutgruppeninkompatibilit„t).";mittel
376;Leitsymptom: Ikterus;Welche Konstellation (direktes Bilirubin erh”ht) beim S„ugling ist abkl„rungsbedrftig und an welche Diagnose ist zu denken?;Keine Angabe;Eine konjugierte (direkte) Hyperbilirubin„mie/Cholestase ? an eine Gallengangsatresie denken.;Keine Angabe;Keine Angabe;B;Eine konjugierte (direkte) Hyperbilirubin„mie/Cholestase ? an eine Gallengangsatresie denken.;schwer
377;Leitsymptom: Ikterus;Welche harmlose, h„ufige Ursache eines milden indirekten Ikterus tritt bei Stress/Fasten auf?;Keine Angabe;Der Morbus Meulengracht (Gilbert-Syndrom).;Keine Angabe;Keine Angabe;B;Der Morbus Meulengracht (Gilbert-Syndrom).;mittel
378;Leitsymptom: Gedeihst”rung;Wie ist eine Gedeihst”rung definiert?;Keine Angabe;Keine Angabe;Als unzureichende Gewichts- und/oder L„ngenentwicklung mit Abfall ber Perzentilen (Abweichung von der erwarteten Wachstumskurve).;Keine Angabe;C;Als unzureichende Gewichts- und/oder L„ngenentwicklung mit Abfall ber Perzentilen (Abweichung von der erwarteten Wachstumskurve).;mittel
379;Leitsymptom: Gedeihst”rung;Welche gastrointestinale Erkrankung mit Malabsorption ist eine wichtige Ursache der Gedeihst”rung?;Keine Angabe;Keine Angabe;Keine Angabe;Die Z”liakie.;D;Die Z”liakie.;mittel
380;Leitsymptom: Gedeihst”rung;Welche nicht-organische Ursache muss bei Gedeihst”rung immer mitbedacht werden?;Keine Angabe;Eine unzureichende Kalorienzufuhr bzw. psychosoziale Vernachl„ssigung.;Keine Angabe;Keine Angabe;B;Eine unzureichende Kalorienzufuhr bzw. psychosoziale Vernachl„ssigung.;mittel
381;Leitsymptom: H„maturie/Proteinurie;Welche Erkrankung verursacht eine Makroh„maturie 1?2 Wochen nach einer Streptokokkeninfektion?;Keine Angabe;Keine Angabe;Keine Angabe;Die akute Poststreptokokken-Glomerulonephritis.;D;Die akute Poststreptokokken-Glomerulonephritis.;mittel
382;Leitsymptom: H„maturie/Proteinurie;Welche Befunde sprechen fr eine glomerul„re H„maturie?;Keine Angabe;Keine Angabe;Brauner Urin, dysmorphe Erythrozyten und Erythrozytenzylinder, oft mit Proteinurie.;Keine Angabe;C;Brauner Urin, dysmorphe Erythrozyten und Erythrozytenzylinder, oft mit Proteinurie.;schwer
383;Leitsymptom: H„maturie/Proteinurie;Welche Erkrankung fhrt zu groáer Proteinurie mit ™demen und Hypalbumin„mie?;Das nephrotische Syndrom.;Keine Angabe;Keine Angabe;Keine Angabe;A;Das nephrotische Syndrom.;mittel
384;Leitsymptom: H„maturie/Proteinurie;Welche h„ufige, harmlose Form der Proteinurie tritt bei Jugendlichen nur im Stehen auf?;Keine Angabe;Keine Angabe;Die orthostatische (benigne) Proteinurie.;Keine Angabe;C;Die orthostatische (benigne) Proteinurie.;mittel
385;Leitsymptom: Gelenkschwellung;Welche Erkrankung muss bei einem schmerzhaft geschwollenen Gelenk mit Fieber dringend ausgeschlossen werden?;Keine Angabe;Keine Angabe;Keine Angabe;Die septische Arthritis (Gelenkinfektion).;D;Die septische Arthritis (Gelenkinfektion).;mittel
386;Leitsymptom: Gelenkschwellung;Welche chronische rheumatische Erkrankung verursacht eine ber 6 Wochen bestehende Gelenkschwellung?;Keine Angabe;Die juvenile idiopathische Arthritis (JIA).;Keine Angabe;Keine Angabe;B;Die juvenile idiopathische Arthritis (JIA).;mittel
387;Leitsymptom: Gelenkschwellung;Welche reaktive Gelenkbeteiligung kann nach einer Infektion (z. B. mit Borrelien) auftreten?;Eine reaktive Arthritis bzw. Lyme-Arthritis.;Keine Angabe;Keine Angabe;Keine Angabe;A;Eine reaktive Arthritis bzw. Lyme-Arthritis.;mittel
388;Leitsymptom: Hinken;Welche transiente, postinfekti”se Ursache von Hinken mit Hftschmerz ist im Kleinkindalter h„ufig?;Die Coxitis fugax (Hftschnupfen).;Keine Angabe;Keine Angabe;Keine Angabe;A;Die Coxitis fugax (Hftschnupfen).;leicht
389;Leitsymptom: Hinken;Welche Hftkopferkrankung verursacht Hinken bei Jungen im Alter von ca. 4?8 Jahren?;Der Morbus Perthes.;Keine Angabe;Keine Angabe;Keine Angabe;A;Der Morbus Perthes.;mittel
390;Leitsymptom: Hinken;Welche Hfterkrankung des Jugendlichen ist ein Notfall und kann sich als Knieschmerz/Hinken „uáern?;Die Epiphyseolysis capitis femoris (ECF).;Keine Angabe;Keine Angabe;Keine Angabe;A;Die Epiphyseolysis capitis femoris (ECF).;schwer
391;Leitsymptom: Krampfanfall;Wie ist ein einfacher Fieberkrampf charakterisiert?;Generalisierter Anfall <15 Minuten, ohne fokale Zeichen und ohne Wiederholung in 24 h, bei Kindern zwischen 6 Monaten und 5 Jahren.;Keine Angabe;Keine Angabe;Keine Angabe;A;Generalisierter Anfall <15 Minuten, ohne fokale Zeichen und ohne Wiederholung in 24 h, bei Kindern zwischen 6 Monaten und 5 Jahren.;mittel
392;Leitsymptom: Krampfanfall;Welche Akuttherapie wird bei einem anhaltenden Krampfanfall (Status) zuerst eingesetzt?;Keine Angabe;Ein Benzodiazepin (z. B. Midazolam buccal/nasal oder Diazepam rektal).;Keine Angabe;Keine Angabe;B;Ein Benzodiazepin (z. B. Midazolam buccal/nasal oder Diazepam rektal).;mittel
393;Leitsymptom: Krampfanfall;Welche metabolische Ursache muss bei einem Krampfanfall (v. a. beim S„ugling) sofort ausgeschlossen werden?;Keine Angabe;Keine Angabe;Keine Angabe;Eine Hypoglyk„mie (und Elektrolytst”rungen wie Hypokalz„mie/Hyponatri„mie).;D;Eine Hypoglyk„mie (und Elektrolytst”rungen wie Hypokalz„mie/Hyponatri„mie).;mittel
394;Leitsymptom: Krampfanfall;Welche infekti”se Ursache eines Krampfanfalls mit Fieber und reduziertem Zustand muss bedacht werden?;Keine Angabe;Keine Angabe;Eine Meningitis/Enzephalitis.;Keine Angabe;C;Eine Meningitis/Enzephalitis.;mittel
395;Leitsymptom: Kopfschmerz;Welche ist die h„ufigste Ursache prim„rer (rezidivierender) Kopfschmerzen im Kindesalter?;Keine Angabe;Keine Angabe;Die Migr„ne (und der Spannungskopfschmerz).;Keine Angabe;C;Die Migr„ne (und der Spannungskopfschmerz).;leicht
396;Leitsymptom: Kopfschmerz;Welche Warnzeichen sprechen fr einen symptomatischen (sekund„ren) Kopfschmerz mit Hirndruck?;Keine Angabe;Morgendliche Kopfschmerzen mit Nchternerbrechen, Zunahme im Liegen, neurologische Ausf„lle und n„chtliches Erwachen.;Keine Angabe;Keine Angabe;B;Morgendliche Kopfschmerzen mit Nchternerbrechen, Zunahme im Liegen, neurologische Ausf„lle und n„chtliches Erwachen.;schwer
397;Leitsymptom: Kopfschmerz;Welche akute, gef„hrliche Ursache von Kopfschmerz mit Fieber und Nackensteife muss ausgeschlossen werden?;Keine Angabe;Eine Meningitis.;Keine Angabe;Keine Angabe;B;Eine Meningitis.;mittel
398;Leitsymptom: Schwindel;Welche gutartige Schwindelform tritt bei Kleinkindern anfallsartig mit Gleichgewichtsst”rung auf?;Keine Angabe;Keine Angabe;Keine Angabe;Der benigne paroxysmale Schwindel des Kindesalters (oft als Migr„ne-Vorl„ufer).;D;Der benigne paroxysmale Schwindel des Kindesalters (oft als Migr„ne-Vorl„ufer).;mittel
399;Leitsymptom: Schwindel;Welche orthostatische Ursache von ?Schwindel? beim Aufstehen ist im Jugendalter h„ufig?;Keine Angabe;Die orthostatische Dysregulation (mit Gefahr der Reflexsynkope).;Keine Angabe;Keine Angabe;B;Die orthostatische Dysregulation (mit Gefahr der Reflexsynkope).;mittel
400;Leitsymptom: Schwindel;Welche Untersuchung geh”rt bei rezidivierendem Schwindel mit neurologischen Symptomen zur Abkl„rung?;Keine Angabe;Keine Angabe;Eine neurologische Untersuchung, ggf. mit Bildgebung (MRT) und HNO-/Gleichgewichtsdiagnostik.;Keine Angabe;C;Eine neurologische Untersuchung, ggf. mit Bildgebung (MRT) und HNO-/Gleichgewichtsdiagnostik.;mittel
401;Leitsymptom: Rckenschmerz;Warum sind Rckenschmerzen bei Kindern (anders als bei Erwachsenen) eher abkl„rungsbedrftig?;Keine Angabe;Keine Angabe;Weil sie seltener funktionell sind und h„ufiger eine organische Ursache (z. B. entzndlich, infekti”s, tumor”s) haben.;Keine Angabe;C;Weil sie seltener funktionell sind und h„ufiger eine organische Ursache (z. B. entzndlich, infekti”s, tumor”s) haben.;mittel
402;Leitsymptom: Rckenschmerz;Welche infekti”se Ursache von Rckenschmerz mit Fieber muss bedacht werden?;Keine Angabe;Keine Angabe;Keine Angabe;Eine Spondylodiszitis bzw. Osteomyelitis der Wirbels„ule.;D;Eine Spondylodiszitis bzw. Osteomyelitis der Wirbels„ule.;schwer
403;Leitsymptom: Rckenschmerz;Welche Warnzeichen bei Rckenschmerz sprechen fr eine ernste Ursache?;Keine Angabe;N„chtliche Schmerzen, Fieber, Gewichtsverlust, neurologische Ausf„lle und anhaltende/zunehmende Beschwerden.;Keine Angabe;Keine Angabe;B;N„chtliche Schmerzen, Fieber, Gewichtsverlust, neurologische Ausf„lle und anhaltende/zunehmende Beschwerden.;mittel
404;Leitsymptom: Hftschmerz;Welche Erkrankungen mssen bei akutem Hftschmerz mit Hinken differenziert werden?;Keine Angabe;Keine Angabe;Coxitis fugax, septische Arthritis, Morbus Perthes und Epiphyseolysis capitis femoris.;Keine Angabe;C;Coxitis fugax, septische Arthritis, Morbus Perthes und Epiphyseolysis capitis femoris.;mittel
405;Leitsymptom: Hftschmerz;Welche Untersuchung ist beim akuten Hftschmerz der erste apparative Schritt?;Keine Angabe;Keine Angabe;Die Hftsonographie (Frage nach Gelenkerguss).;Keine Angabe;C;Die Hftsonographie (Frage nach Gelenkerguss).;leicht
406;Leitsymptom: Hftschmerz;Welche Befundkonstellation spricht fr eine septische Koxitis (Notfall)?;Keine Angabe;Keine Angabe;Keine Angabe;Fieber, schlechter Allgemeinzustand, erh”hte Entzndungsparameter und schmerzbedingte Schonhaltung/Bewegungsverweigerung.;D;Fieber, schlechter Allgemeinzustand, erh”hte Entzndungsparameter und schmerzbedingte Schonhaltung/Bewegungsverweigerung.;mittel
407;Leitsymptom: Knieschmerz;Warum kann ein ?Knieschmerz? bei Kindern auf eine Hfterkrankung hinweisen?;Keine Angabe;Keine Angabe;Weil Hftpathologien (z. B. ECF, Morbus Perthes) Schmerzen ins Knie projizieren k”nnen ? daher immer die Hfte mituntersuchen.;Keine Angabe;C;Weil Hftpathologien (z. B. ECF, Morbus Perthes) Schmerzen ins Knie projizieren k”nnen ? daher immer die Hfte mituntersuchen.;schwer
408;Leitsymptom: Knieschmerz;Welche belastungsabh„ngige Ursache von Knieschmerz tritt bei sportlichen Jugendlichen an der Tuberositas tibiae auf?;Keine Angabe;Keine Angabe;Der Morbus Osgood-Schlatter.;Keine Angabe;C;Der Morbus Osgood-Schlatter.;mittel
409;Leitsymptom: Knieschmerz;Welche Erkrankung muss bei n„chtlichem Knieschmerz mit Schwellung und Allgemeinsymptomen ausgeschlossen werden?;Ein Knochentumor (z. B. Osteosarkom) bzw. eine Leuk„mie.;Keine Angabe;Keine Angabe;Keine Angabe;A;Ein Knochentumor (z. B. Osteosarkom) bzw. eine Leuk„mie.;mittel
410;Diagnostik: Labormedizin;Welche Laborparameter sind die wichtigsten Entzndungsmarker bei Verdacht auf eine bakterielle Infektion?;Keine Angabe;"C-reaktives Protein (CRP), Blutbild mit Differenzialblutbild (Leukozyten) und ggf. Procalcitonin; die Blutsenkung (BSG) reagiert tr„ger.";Keine Angabe;Keine Angabe;B;"C-reaktives Protein (CRP), Blutbild mit Differenzialblutbild (Leukozyten) und ggf. Procalcitonin; die Blutsenkung (BSG) reagiert tr„ger.";leicht
411;Diagnostik: Labormedizin;Was ist bei der Blutentnahme/Interpretation von Laborwerten im Kindesalter grunds„tzlich zu beachten?;Keine Angabe;Keine Angabe;Es gelten altersabh„ngige Referenzbereiche (z. B. fr H„moglobin, Leukozyten, alkalische Phosphatase).;Keine Angabe;C;Es gelten altersabh„ngige Referenzbereiche (z. B. fr H„moglobin, Leukozyten, alkalische Phosphatase).;mittel
412;Diagnostik: Labormedizin;Welche Untersuchung ist vor Beginn einer antibiotischen Therapie bei Sepsisverdacht obligat?;Keine Angabe;Die Abnahme von Blutkulturen (vor der ersten Antibiotikagabe).;Keine Angabe;Keine Angabe;B;Die Abnahme von Blutkulturen (vor der ersten Antibiotikagabe).;mittel
413;Diagnostik: Labormedizin;Welche Untersuchung erlaubt die Beurteilung des S„ure-Basen-Haushalts und der Oxygenierung?;Die Blutgasanalyse (BGA).;Keine Angabe;Keine Angabe;Keine Angabe;A;Die Blutgasanalyse (BGA).;leicht
414;Diagnostik: Labormedizin;Wie unterscheidet man laborchemisch eine metabolische von einer respiratorischen Azidose grob?;"Metabolische Azidose: erniedrigtes Bikarbonat (HCO3-) bei kompensatorisch niedrigem pCO2; respiratorische Azidose: erh”htes pCO2.";Keine Angabe;Keine Angabe;Keine Angabe;A;"Metabolische Azidose: erniedrigtes Bikarbonat (HCO3-) bei kompensatorisch niedrigem pCO2; respiratorische Azidose: erh”htes pCO2.";schwer
415;Diagnostik: Labormedizin;Welche Berechnung hilft bei einer metabolischen Azidose, eine Ursache einzugrenzen?;Keine Angabe;Keine Angabe;Keine Angabe;Die Bestimmung der Anionenlcke.;D;Die Bestimmung der Anionenlcke.;schwer
416;Diagnostik: Mikrobiologie/Virologie;Welches Verfahren ist der Goldstandard zum Erregernachweis und zur Resistenztestung bei bakteriellen Infektionen?;Keine Angabe;Keine Angabe;Keine Angabe;Die mikrobiologische Kultur mit Antibiogramm.;D;Die mikrobiologische Kultur mit Antibiogramm.;mittel
417;Diagnostik: Mikrobiologie/Virologie;Welches molekulare Verfahren weist Erreger durch Vervielf„ltigung ihres Erbguts hochsensitiv nach?;Keine Angabe;Die PCR (Nukleins„ure-Amplifikationstest, NAT).;Keine Angabe;Keine Angabe;B;Die PCR (Nukleins„ure-Amplifikationstest, NAT).;mittel
418;Diagnostik: Mikrobiologie/Virologie;Was unterscheidet IgM- von IgG-Antik”rpern in der Infektionsserologie grunds„tzlich?;Keine Angabe;Keine Angabe;Keine Angabe;IgM weist eher auf eine frische/akute Infektion hin, IgG auf eine zurckliegende Infektion oder Immunit„t.;D;IgM weist eher auf eine frische/akute Infektion hin, IgG auf eine zurckliegende Infektion oder Immunit„t.;mittel
419;Diagnostik: Mikrobiologie/Virologie;Welcher schnelle Test wird z. B. bei Streptokokken-Pharyngitis am Krankenbett eingesetzt?;Der Antigen-Schnelltest (z. B. Streptokokken-A-Schnelltest).;Keine Angabe;Keine Angabe;Keine Angabe;A;Der Antigen-Schnelltest (z. B. Streptokokken-A-Schnelltest).;leicht
420;Diagnostik: Mikrobiologie/Virologie;Wie wird die Diagnose der Lyme-Borreliose serologisch gesichert?;Durch ein zweistufiges Vorgehen: Suchtest (ELISA) mit Best„tigung durch Immunoblot (Westernblot).;Keine Angabe;Keine Angabe;Keine Angabe;A;Durch ein zweistufiges Vorgehen: Suchtest (ELISA) mit Best„tigung durch Immunoblot (Westernblot).;schwer
421;Diagnostik: Bildgebung;Welches bildgebende Verfahren ist im Kindesalter wegen fehlender Strahlenbelastung oft die Methode der ersten Wahl?;Keine Angabe;Keine Angabe;Keine Angabe;Die Sonografie (Ultraschall).;D;Die Sonografie (Ultraschall).;leicht
422;Diagnostik: Bildgebung;Welches Grundprinzip gilt beim Strahlenschutz von Kindern?;"Rechtfertigende Indikation und Dosisminimierung (ALARA) sowie Strahlenschutzmittel (z. B. Gonaden-/Schilddrsenschutz); strahlenfreie Verfahren bevorzugen.";Keine Angabe;Keine Angabe;Keine Angabe;A;"Rechtfertigende Indikation und Dosisminimierung (ALARA) sowie Strahlenschutzmittel (z. B. Gonaden-/Schilddrsenschutz); strahlenfreie Verfahren bevorzugen.";mittel
423;Diagnostik: Bildgebung;Welche R”ntgenaufnahme dient der Bestimmung des Knochenalters (Skelettreife)?;Keine Angabe;Die R”ntgenaufnahme der linken Hand.;Keine Angabe;Keine Angabe;B;Die R”ntgenaufnahme der linken Hand.;mittel
424;Diagnostik: Bildgebung;Welche Bildgebung ist beim kindlichen Polytrauma h„ufig die Methode der Wahl?;Keine Angabe;Keine Angabe;Die (Spiral-/Multislice-)Computertomographie (CT).;Keine Angabe;C;Die (Spiral-/Multislice-)Computertomographie (CT).;mittel
425;Diagnostik: Bildgebung;Welches Verfahren liefert ohne Strahlenbelastung den besten Weichteil-/ZNS-Kontrast?;Keine Angabe;Keine Angabe;Keine Angabe;Die Magnetresonanztomografie (MRT).;D;Die Magnetresonanztomografie (MRT).;mittel
426;Diagnostik: Bildgebung;Welche Bildgebung geh”rt bei Verdacht auf k”rperliche Kindesmisshandlung beim S„ugling/Kleinkind zur Abkl„rung?;Keine Angabe;Keine Angabe;Der radiologische Skelettstatus (R”ntgen-Skelettbersicht) zur Suche nach Frakturen unterschiedlichen Alters.;Keine Angabe;C;Der radiologische Skelettstatus (R”ntgen-Skelettbersicht) zur Suche nach Frakturen unterschiedlichen Alters.;schwer
427;Diagnostik: Bildgebung;Welche Untersuchung ist Methode der Wahl zur Beurteilung der S„uglingshfte?;Die Hftsonografie (nach Graf).;Keine Angabe;Keine Angabe;Keine Angabe;A;Die Hftsonografie (nach Graf).;leicht
428;Diagnostik: Kardiologie;Welches nicht-invasive Verfahren ist die wichtigste Methode zur Darstellung angeborener Herzfehler?;Keine Angabe;Die (transthorakale) Echokardiografie.;Keine Angabe;Keine Angabe;B;Die (transthorakale) Echokardiografie.;leicht
429;Diagnostik: Kardiologie;Welche Untersuchung erfasst Herzrhythmusst”rungen und Erregungsleitungsst”rungen?;Keine Angabe;Keine Angabe;Keine Angabe;Das EKG (bei intermittierenden Beschwerden das Langzeit-EKG).;D;Das EKG (bei intermittierenden Beschwerden das Langzeit-EKG).;leicht
430;Diagnostik: Kardiologie;Seit wann ist das Pulsoxymetrie-Screening Bestandteil der U1/U2 und wozu dient es?;Keine Angabe;Keine Angabe;Keine Angabe;"Seit 2016; es dient der Frherkennung kritischer (zyanotischer) angeborener Herzfehler.";D;"Seit 2016; es dient der Frherkennung kritischer (zyanotischer) angeborener Herzfehler.";mittel
431;Diagnostik: Kardiologie;Welcher Laborwert (Biomarker) ist bei Herzinsuffizienz/Volumenbelastung erh”ht?;BNP bzw. NT-proBNP.;Keine Angabe;Keine Angabe;Keine Angabe;A;BNP bzw. NT-proBNP.;mittel
432;Diagnostik: Kardiologie;Welche Untersuchung wird erg„nzend zur Erfassung belastungsinduzierter kardialer/pulmonaler Symptome eingesetzt?;Keine Angabe;Keine Angabe;Die Belastungsuntersuchung (Ergometrie/Spiroergometrie) mit EKG- und S„ttigungsmonitoring.;Keine Angabe;C;Die Belastungsuntersuchung (Ergometrie/Spiroergometrie) mit EKG- und S„ttigungsmonitoring.;schwer
433;Diagnostik: Neurologie;Welche Untersuchung erfasst die elektrische Hirnaktivit„t, z. B. bei Epilepsieverdacht?;Keine Angabe;Keine Angabe;Das Elektroenzephalogramm (EEG).;Keine Angabe;C;Das Elektroenzephalogramm (EEG).;leicht
434;Diagnostik: Neurologie;Welche Untersuchung ist bei Verdacht auf eine Meningitis/Enzephalitis essenziell?;Keine Angabe;Keine Angabe;Die Liquorpunktion (Lumbalpunktion) mit Liquoranalyse.;Keine Angabe;C;Die Liquorpunktion (Lumbalpunktion) mit Liquoranalyse.;mittel
435;Diagnostik: Neurologie;Welche Liquorparameter werden bei jeder Liquorpunktion bestimmt?;Zellzahl/-differenzierung, Eiweiá, Glukose (im Verh„ltnis zum Serum) und Laktat sowie eine mikrobiologische Untersuchung.;Keine Angabe;Keine Angabe;Keine Angabe;A;Zellzahl/-differenzierung, Eiweiá, Glukose (im Verh„ltnis zum Serum) und Laktat sowie eine mikrobiologische Untersuchung.;mittel
436;Diagnostik: Neurologie;Was muss vor einer Lumbalpunktion bei Hirndruckzeichen bedacht werden?;Keine Angabe;Keine Angabe;Keine Angabe;Die Gefahr der Einklemmung ? bei klinischen Hirndruckzeichen vorher Bildgebung (CT/MRT) erw„gen.;D;Die Gefahr der Einklemmung ? bei klinischen Hirndruckzeichen vorher Bildgebung (CT/MRT) erw„gen.;schwer
437;Diagnostik: Neurologie;Welche bildgebende Methode ist bei chronischen neurologischen Fragestellungen (Fehlbildungen, Tumoren) Methode der Wahl?;Keine Angabe;Die MRT des Sch„dels (kraniales MRT).;Keine Angabe;Keine Angabe;B;Die MRT des Sch„dels (kraniales MRT).;mittel
438;Diagnostik: Pneumologie/Allergologie;Welche Untersuchung quantifiziert die Lungenfunktion (z. B. bei Asthma) ab etwa dem Schulalter?;Keine Angabe;Keine Angabe;Keine Angabe;Die Spirometrie (Lungenfunktionsprfung).;D;Die Spirometrie (Lungenfunktionsprfung).;mittel
439;Diagnostik: Pneumologie/Allergologie;Welcher Lungenfunktionsbefund spricht fr eine obstruktive Ventilationsst”rung?;Keine Angabe;Eine erniedrigte Einsekundenkapazit„t (FEV1) und ein erniedrigter FEV1/FVC-Quotient, oft reversibel nach Bronchodilatator.;Keine Angabe;Keine Angabe;B;Eine erniedrigte Einsekundenkapazit„t (FEV1) und ein erniedrigter FEV1/FVC-Quotient, oft reversibel nach Bronchodilatator.;schwer
440;Diagnostik: Pneumologie/Allergologie;Welcher Test sichert die Diagnose der zystischen Fibrose?;Keine Angabe;Der Schweiátest (Chloridbestimmung, ?60 mmol/l pathologisch).;Keine Angabe;Keine Angabe;B;Der Schweiátest (Chloridbestimmung, ?60 mmol/l pathologisch).;mittel
441;Diagnostik: Pneumologie/Allergologie;Mit welchen Verfahren wird eine IgE-vermittelte Sensibilisierung nachgewiesen?;Keine Angabe;Mit dem Haut-Pricktest und der Bestimmung von spezifischem IgE im Blut (RAST/Immunoassay).;Keine Angabe;Keine Angabe;B;Mit dem Haut-Pricktest und der Bestimmung von spezifischem IgE im Blut (RAST/Immunoassay).;mittel
442;Diagnostik: Pneumologie/Allergologie;Welcher Provokationstest kann bei unklarer Nahrungsmittelallergie zur Sicherung dienen?;Keine Angabe;Keine Angabe;Die (orale) Nahrungsmittelprovokation, m”glichst kontrolliert (doppelblind, plazebokontrolliert).;Keine Angabe;C;Die (orale) Nahrungsmittelprovokation, m”glichst kontrolliert (doppelblind, plazebokontrolliert).;schwer
443;Diagnostik: Genetik;Welche klassische Untersuchung stellt die Chromosomen dar und erkennt numerische/strukturelle Aberrationen?;Keine Angabe;Die Chromosomenanalyse (Karyotypisierung).;Keine Angabe;Keine Angabe;B;Die Chromosomenanalyse (Karyotypisierung).;mittel
444;Diagnostik: Genetik;Welche Methode weist gezielt definierte Mikrodeletionen/-duplikationen mit fluoreszierenden Sonden nach?;Keine Angabe;Keine Angabe;Die Fluoreszenz-in-situ-Hybridisierung (FISH).;Keine Angabe;C;Die Fluoreszenz-in-situ-Hybridisierung (FISH).;schwer
445;Diagnostik: Genetik;Welche Methode erkennt genomweit submikroskopische Kopienzahlver„nderungen (CNVs)?;Die Array-CGH (Microarray-Analyse).;Keine Angabe;Keine Angabe;Keine Angabe;A;Die Array-CGH (Microarray-Analyse).;schwer
446;Diagnostik: Genetik;Welche Methode dient dem Nachweis von Punktmutationen in einem Gen?;Keine Angabe;Die Sequenzierung (z. B. Sanger-Sequenzierung oder Next-Generation-Sequencing).;Keine Angabe;Keine Angabe;B;Die Sequenzierung (z. B. Sanger-Sequenzierung oder Next-Generation-Sequencing).;mittel
447;Diagnostik: Genetik;Welche Methode quantifiziert die Kopienzahl mehrerer Genabschnitte (z. B. bei Deletionsnachweis, SMA)?;Keine Angabe;Keine Angabe;Keine Angabe;Die MLPA (Multiplex Ligation-dependent Probe Amplification).;D;Die MLPA (Multiplex Ligation-dependent Probe Amplification).;schwer
448;Diagnostik: CF/Endokrinopathien;Welcher Funktionstest dient der Diagnostik des Wachstumshormonmangels?;Keine Angabe;Der Wachstumshormon-Stimulationstest (z. B. mit Arginin, Clonidin oder Insulin-Hypoglyk„mie).;Keine Angabe;Keine Angabe;B;Der Wachstumshormon-Stimulationstest (z. B. mit Arginin, Clonidin oder Insulin-Hypoglyk„mie).;schwer
449;Diagnostik: CF/Endokrinopathien;Welcher Test dient der Abkl„rung einer Glukosetoleranzst”rung/eines Diabetes?;Keine Angabe;Keine Angabe;Der orale Glukosetoleranztest (oGTT).;Keine Angabe;C;Der orale Glukosetoleranztest (oGTT).;mittel
450;Diagnostik: CF/Endokrinopathien;Welcher Stimulationstest sichert eine Nebennierenrindeninsuffizienz?;Keine Angabe;Keine Angabe;Keine Angabe;Der ACTH-(Synacthen-)Stimulationstest.;D;Der ACTH-(Synacthen-)Stimulationstest.;schwer
